Company_1,Ticker_1,Company_2,Ticker_2,Relationship_Type,Direction,Description
ASML,ASML,Intel,INTC,Supplier,ASML → INTC,ASML supplies lithography machines to Intel
ASML,ASML,Samsung,SSNLF,Supplier,ASML → SSNLF,ASML supplies lithography machines to Samsung
Applied Materials,AMAT,Taiwan Semiconductor,TSM,Supplier,AMAT → TSM,AMAT supplies semiconductor equipment to TSMC
Lam Research,LRCX,Taiwan Semiconductor,TSM,Supplier,LRCX → TSM,Lam supplies etching equipment to TSMC
Micron,MU,Apple,AAPL,Supplier,MU → AAPL,Micron supplies memory chips for Apple devices
Micron,MU,NVIDIA,NVDA,Supplier,MU → NVDA,Micron supplies HBM memory for NVIDIA GPUs




